Part Number / Line 1,Quantity / Line 2,PO Number,Employee,Date,Location
Gen Walls,Quantity: 40,067134,6229,1/26/2026,RECV
Gen Walls,Quantity: 10,067134,6229,1/26/2026,RECV
"Kawasaki Totes
15 x 7 x 12",Quantity: 96,Customer Supplied,6229,1/26/2026,RECV
"Kawasaki Totes
15 x 7 x 12",Quantity: 96,Customer Supplied,6229,1/26/2026,RECV
"Kawasaki Totes
15 x 7 x 12",Quantity: 96,Customer Supplied,6229,1/26/2026,RECV
"Kawasaki Totes
15 x 7 x 12",Quantity: 96,Customer Supplied,6229,1/26/2026,RECV
John Deere AKK543 Racks,Quantity: 4,Customer Supplied,6229,1/23/2026,Door 5
John Deere AKK46582 Racks,Quantity:  2,Customer Supplied,6229,1/23/2026,Door 5
John Deere AKK46543 Racks,Quantity: 4,Customer Supplied,6229,1/22/2026,Door 5
John Deere AKK46582 Racks,Quantity: 2,Customer Supplied,6229,1/22/2026,Door 5
Short Gaylords,Quantity: 600,PO-067093,6229,1/22/2026,Outside Service / R-C/D
39 x 39 Cardboard,Quantity: 96,PO-067109,6229,1/21/2026,Home Location
39 x 39 Cardboard,Quantity: 290,PO-067109,6229,1/21/2026,Home Location
39 x 39 Cardboard,Quantity: 290,PO-067109,6229,1/21/2026,Home Location
39 x 39 Cardboard,Quantity: 290,PO-067109,6229,1/21/2026,Home Location
39 x 39 Cardboard,Quantity: 290,PO-067109,6229,1/21/2026,Home Location
39 x 39 Cardboard,Quantity: 290,PO-067109,6229,1/21/2026,Home Location
39 x 39 Cardboard,Quantity: 290,PO-067109,6229,1/21/2026,Home Location
39 x 39 Cardboard,Quantity: 290,PO-067109,6229,1/21/2026,V-N Racking
39 x 39 Cardboard,Quantity: 290,PO-067109,6229,1/21/2026,V-N Racking
39 x 39 Cardboard,Quantity: 290,PO-067109,6229,1/21/2026,V-N Racking
39 x 39 Cardboard,Quantity: 290,PO-067109,6229,1/21/2026,V-N Racking
39 x 39 Cardboard,Quantity: 290,PO-067109,6229,1/21/2026,V-N Racking
39 x 39 Cardboard,Quantity: 290,PO-067109,6229,1/21/2026,V-N Racking
Used XMAS Boxes,"Size (L x W x H):
26 x 15.5 x 13.5",Customer Supplied,6229,1/21/2026,V-B Racking
"Kawasaki Totes
15 x 7 x 12",Quantity: 96,Customer Supplied,6229,1/20/2026,Recv
"Kawasaki Totes
15 x 7 x 12",Quantity: 96,Customer Supplied,6229,1/20/2026,Recv
"Kawasaki Totes
15 x 7 x 12",Quantity: 96,Customer Supplied,6229,1/20/2026,Recv
"Kawasaki Totes
15 x 7 x 12",Quantity: 96,Customer Supplied,6229,1/20/2026,Recv
"Kawasaki Totes
15 x 7 x 12",Quantity: 96,Customer Supplied,6229,1/20/2026,Recv
"Kawasaki Totes
15 x 7 x 12",Quantity: 96,Customer Supplied,6229,1/20/2026,Recv
"Kawasaki Totes
15 x 7 x 12",Quantity: 96,Customer Supplied,6229,1/20/2026,Recv
"Kawasaki Totes
15 x 7 x 12",Quantity: 96,Customer Supplied,6229,1/20/2026,Recv
"Kawasaki Totes
15 x 7 x 12",Quantity: 96,Customer Supplied,6229,1/20/2026,Recv
"Kawasaki Totes
15 x 7 x 12",Quantity: 96,Customer Supplied,6229,1/20/2026,Recv
"Kawasaki Totes
15 x 7 x 12",Quantity: 96,Customer Supplied,6229,1/20/2026,Recv
"Kawasaki Totes
15 x 7 x 12",Quantity: 96,Customer Supplied,6229,1/20/2026,Recv
"Kawasaki Totes
15 x 7 x 12",Quantity: 96,Customer Supplied,6229,1/20/2026,Recv
"Kawasaki Totes
15 x 7 x 12",Quantity: 96,Customer Supplied,6229,1/20/2026,Recv
John Deere AKK546 Racks,Quantity: 4,Customer Supplied,6229,1/19/2026,Recv
John Deere AKK46582 Racks,Quantity: 1,Customer Supplied,6229,1/19/2026,Recv
Insinkerator Baskets,Quantity: 27,Customer Supplied,6229,1/14/2026,V-F Area
AKK543 Racks,Quantity: 5,Customer Supplied,6229,1/14/2026,RECV
AKK46582 Racks,Quantity: 2,Customer Supplied,6229,1/14/2026,RECV
42 x 42 Skids,Quantity: 9,067125,6229,1/13/2026,Door 13
48 x 48 Skids,Quantity: 20,067125,6229,1/13/2026,Door 13
74 x 40 Skids,Quantity: 25,067125,6229,1/13/2026,Door 13
Allison Totes,TAKE TO VITS,Customer Supplied,6229,1/13/2026,RECV
Allison Totes,TAKE TO VITS,Customer Supplied,6229,1/13/2026,RECV
Allison Totes,TAKE TO VITS,Customer Supplied,6229,1/13/2026,RECV
Allison Totes,Quantity: 180,Customer Supplied,6229,1/13/2026,RECV
"Stretch Film - 20"" X 5000'",Quantity: 40 Rolls,067357,6229,1/13/2026,RECV
"3/4"" Steel Strapping",Quantity: 12 Coils,067357,6229,1/13/2026,RECV
"1 1/4"" Steel Strapping",Quantity: 4 Rolls,067360,6229,1/13/2026,RECV
Insinkerator Baskets,Quantity: 32,Customer Supplied,6229,1/9/2026,U-04
Kawasaki Totes,Quantity: 96,Customer Supplied,6229,1/8/2026,RECV
Kawasaki Totes,Quantity: 96,Customer Supplied,6229,1/8/2026,RECV
Skids: 32 x 30,Quantity: 100,067081,6229,1/8/2026,Door 13
Skids: 42 x 42,Quantity: 11,067125,6229,1/8/2026,Door 13
Kohler Crates,Quantity: 3/4 Truck,Customer Supplied,6229,1/7/2026,Outside Door 5
Bob Pederson,CO-082758,066821,6229,1/6/2026,Die Shop
Lennox Jarkies,Quantity: 20,Customer Supplied,6229,1/6/2026,RECV
Insinkerator Baskets,Quantity: 29,Customer Supplied,6229,1/6/2026,RECV
John Deere AKK543 Racks,Quantity: 9,Customer Supplied,6229,1/6/2026,RECV
John Deere AKK46582 Racks,Quantity: 4,Customer Supplied,6229,1/6/2026,RECV
12 x 12 x 12 Boxes,Quantity: 250,067191,6229,1/6/2026,Home Location
12 x 12 x 12 Boxes,Quantity: 250,067191,6229,1/6/2026,Home Location
12 x 12 x 6 Boxes,Quantity: 300,067191,6229,1/6/2026,Home Location
12 x 12 x 6 Boxes,Quantity: 300,067191,6229,1/6/2026,W-C Racking
12 x 12 x 6 Boxes,Quantity: 300,067191,6229,1/6/2026,W-C Racking
12 x 12 x 6 Boxes,Quantity: 300,067191,6229,1/6/2026,W-C Racking
8 x 5 x 5 Boxes,Quantity: 1025,067192,6229,1/6/2026,RECV
"12 x 12 x 6 Boxes
Double Walled",Quantity: 60,066814,6229,1/2/2026,RECV
Insikerator Baskets,Quantity: 63,Customer Supplied,6229,12/30/2025,100-14 / 100-1804
Allison Totes,Quantity: 180,Customer Supplied,6229,12/30/2025,RECV
Allison Totes,Quantity: 180,Customer Supplied,6229,12/30/2025,RECV
Allison Totes,Quantity: 180,Customer Supplied,6229,12/30/2025,RECV
Short Gaylords,Quantity: 24 Skids (1320 Gaylords),067092,6229,12/29/2025,Outside Service
Handheld Shrink-Wrap,Quantity: 24 Boxes,067067,6229,12/26/2025,RECV
Insinkerator Baskets,Quantity: 50 (All Tall),Customer Supplied,6229,12/23/2025,U-04 & 1804 Areas
40 x 48 Cardboard,Quantity: 260,066692,6229,12/22/2025,RECV
40 x 48 Cardboard,Quantity: 390,066692,6229,12/22/2025,RECV
40 x 48 Cardboard,Quantity: 390,066692,6229,12/22/2025,RECV
40 x 48 Cardboard,Quantity: 390,066692,6229,12/22/2025,RECV
40 x 48 Cardboard,Quantity: 390,066692,6229,12/22/2025,RECV
40 x 48 Cardboard,Quantity: 390,066692,6229,12/22/2025,RECV
40 x 48 Cardboard,Quantity: 390,066692,6229,12/22/2025,RECV
40 x 48 Cardboard,Quantity: 390,066692,6229,12/22/2025,RECV
40 x 48 Cardboard,Quantity: 390,066692,6229,12/22/2025,RECV
40 x 48 Cardboard,Quantity: 390,066692,6229,12/22/2025,RECV
47 x 52 Cardboard,Quantity: 264,066815,6229,12/22/2025,RECV
47 x 52 Cardboard,Quantity: 325,066815,6229,12/22/2025,RECV
47 x 52 Cardboard,Quantity: 325,066815,6229,12/22/2025,RECV
47 x 52 Cardboard,Quantity: 325,066815,6229,12/22/2025,RECV
47 x 52 Cardboard,Quantity: 325,066815,6229,12/22/2025,RECV
47 x 52 Cardboard,Quantity: 325,066815,6229,12/22/2025,RECV
47 x 52 Cardboard,Quantity: 325,066815,6229,12/22/2025,RECV
47 x 52 Cardboard,Quantity: 325,066815,6229,12/22/2025,RECV
Insinkerator Baskets,Quantity: 32,Customer Supplied,6229,12/16/2025,U-04
Insinkerator Baskets,Quantity: 56,Customer Suppled,6229,12/11/2025,U-04
Crenlo Rack,Quantity: 1,Custom Supplied,6229,12/11/2025,R Bay (C/D Isle)
John Deere AKK543 Racks,Quantity: 5,Custom Supplied,6229,12/11/2025,RECV
John Deere AKK46582 Rack,Quantity: 1,Custom Supplied,6229,12/11/2025,RECV
40 x 48 Cardboard,Quantity: 360,066735,6229,12/10/2025,Home
40 x 48 Cardboard,Quantity: 360,066735,6229,12/10/2025,Home
40 x 48 Cardboard,Quantity: 360,066735,6229,12/10/2025,Home
40 x 48 Cardboard,Quantity: 360,066735,6229,12/10/2025,Home
40 x 48 Cardboard,Quantity: 360,066735,6229,12/10/2025,Home
40 x 48 Cardboard,Quantity: 360,066735,6229,12/10/2025,Home
40 x 48 Cardboard,Quantity: 360,066735,6229,12/10/2025,Home
40 x 48 Cardboard,Quantity: 360,066735,6229,12/10/2025,Home
12 x 12 x 6 Boxes (DW),Quantity: 300,066814,6229,12/10/2025,Home
12 x 12 x 6 Boxes (DW),Quantity: 150,066814,6229,12/10/2025,Home
Skids: 42 x 54,Quantity: 29,066611,6229,12/9/2025,Door 13
12x12x12 SW Box,500,066814,6604,12/9/2025,RECV
Large Insinkerator Baskets,Quantity: 42,Customer Supplied,6229,12/8/2025,RECV
Small Insikerator Baskets,Quantity: 9,Customer Supplied,6229,12/8/2025,RECV
Allison Totes,Quantity: 180,Customer Suppled,6229,12/5/2025,RECV
Allison Totes,Quantity: 180,Customer Suppled,6229,12/5/2025,RECV
Allison Totes,Quantity: 180,Customer Suppled,6229,12/5/2025,RECV
Allison Totes,Quantity: 180,Customer Suppled,6229,12/5/2025,RECV
"Stretch Film
Hand Held",Quantity: 24 Boxes,066669,6229,12/5/2025,RECV
"Stretch Film
Machine Fed",Quantity: 40 Rolls,066669,6229,12/5/2025,RECV
"Kawasaki Totes
24 x 7 x 14",Quantity: 40,Customer Supplied,6229,12/4/2025,RECV
"Kawasaki Totes
24 x 7 x 14",Quantity: 60,Customer Supplied,6229,12/4/2025,RECV
"Kawasaki Totes
24 x 7 x 14",Quantity: 54,Customer Supplied,6229,12/4/2025,RECV
"Kawasaki Totes
24 x 7 x 14",Quantity: 54,Customer Supplied,6229,12/4/2025,RECV
"Kawasaki Totes
24 x 7 x 14",Quantity: 54,Customer Supplied,6229,12/4/2025,RECV
"Kawasaki Totes
24 x 7 x 14",Quantity: 60,Customer Supplied,6229,12/4/2025,RECV
"Kawasaki Totes
24 x 7 x 14",Quantity: 60,Customer Supplied,6229,12/4/2025,RECV
"Kawasaki Totes
24 x 7 x 14",Quantity: 54,Customer Supplied,6229,12/4/2025,RECV
"Kawasaki Totes
24 x 7 x 14",Quantity: 54,Customer Supplied,6229,12/4/2025,RECV
"Kawasaki Totes
15 x 7 x 12",Quantity: 96,Customer Supplied,6229,12/4/2025,RECV
"Kawasaki Totes
15 x 7 x 12",Quantity: 96,Customer Supplied,6229,12/4/2025,RECV
Kohler Crates,Quantity: Full Trailer,Customer Supplied,6229,12/3/2025,RECV
Tall Gaylords,Quantity: 720,066678,6229,12/3/2025,Outside Service
Filters,Assorted Quantitys,Vendor Supplied,6229,12/3/2025,Maint.
Insikerator Baskets,Quantity: 52,Customer Supplied,6229,12/3/2025,U-04
ICE MELT,Quantity: 55 Gallons,066581,6229,12/3/2025,RECV
Kawasaki Totes,Quantity: 72,Customer Supplied,6229,12/1/2025,Cold Storage
